time,V(spikes1),V(spikes2),V(spikes3),V(spikes4),V(spikes5),V(spikes6),V(spikes7),V(spikes8)
-1.0,0,0,0,0,111,108,103,92
-0.95,0,0,0,0,110,107,101,91
-0.9,0,0,0,0,108,105,100,90
-0.85,0,0,0,0,105,103,98,88
-0.8,0,0,0,0,103,100,96,86
-0.75,0,0,0,0,101,98,94,85
-0.7,0,0,0,0,98,96,91,83
-0.65,0,0,0,0,95,93,89,81
-0.6,0,0,0,0,92,90,86,79
-0.55,0,0,0,0,89,87,84,76
-0.5,0,0,0,0,86,84,81,74
-0.45,0,0,0,0,82,81,77,71
-0.4,0,0,0,0,78,77,74,68
-0.35,0,0,0,0,74,72,70,65
-0.3,0,0,0,0,69,68,66,61
-0.25,0,0,0,0,64,63,61,57
-0.2,0,0,0,0,58,57,55,52
-0.15,0,0,0,0,51,50,49,46
-0.1,0,0,0,0,43,42,41,39
-0.05,16,16,15,15,16,16,15,15
0.05,32,32,31,30,0,0,0,0
0.1,43,42,41,39,0,0,0,0
0.15,51,50,49,46,0,0,0,0
0.2,58,57,55,52,0,0,0,0
0.25,64,63,61,57,0,0,0,0
0.3,69,68,66,61,0,0,0,0
0.35,74,72,70,65,0,0,0,0
0.4,78,77,74,68,0,0,0,0
0.45,82,81,77,71,0,0,0,0
0.5,86,84,80,74,0,0,0,0
0.55,89,86,84,76,0,0,0,0
0.6,92,90,86,79,0,0,0,0
0.65,95,93,89,81,0,0,0,0
0.7,98,96,91,83,0,0,0,0
0.75,101,98,94,85,0,0,0,0
0.8,103,99,96,86,0,0,0,0
0.85,105,103,98,88,0,0,0,0
0.9,108,105,100,90,0,0,0,0
0.95,110,107,101,91,0,0,0,0
1.0,112,108,103,92,0,0,0,0
